train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
-1.5672618634998798,0.1395705176400952,1028,100416,0.0001,10,9339,98.13,0.7331199115142226,3136,-98.08,-11.922225996851921,0.05
,,1032,100672,,10,9346,97.63,,,-97.57,,0.06
,,1036,100992,,10,9353,97.37,,,-97.31,,0.06
,,1040,101280,,10,9360,97.37,,,-97.31,,0.06
,,1044,101568,,10,9367,97.9,,,-97.85,,0.05
,,1048,102240,,10,9382,97.9,,,-97.85,,0.05
-1.5999789740890265,0.14138619526056573,1052,102528,0.0001,10,9532,97.9,0.7284440919756889,3200,-97.85,-11.722428098320961,0.05
,,1056,102880,,10,9541,98.36,,,-98.32,,0.04
,,1060,103424,,10,9552,98.12,,,-98.07,,0.05
,,1064,103776,,10,9560,97.86,,,-97.8,,0.06
,,1068,104128,,10,9568,97.86,,,-97.8,,0.06
,,1072,104384,,10,9575,97.11,,,-97.04,,0.07
-1.632477581501007,0.1371480030938983,1076,104544,0.0001,10,9722,96.63,0.7237974051386118,3264,-96.55,-11.50531168282032,0.08
,,1080,105216,,10,9737,96.63,,,-96.55,,0.08
,,1084,105536,,10,9744,96.63,,,-96.55,,0.08
,,1088,105792,,10,9751,96.63,,,-96.55,,0.08
-1.6647527422755957,0.14390249480493367,1092,106624,0.0001,10,9912,96.75,0.7191798025742173,3328,-96.68,-11.333884954452515,0.07
,,1096,106848,,10,9918,95.59,,,-95.5,,0.09
,,1100,107072,,10,9924,95.59,,,-95.5,,0.09
,,1104,107424,,10,9932,95.59,,,-95.5,,0.09
,,1108,107712,,10,9939,95.59,,,-95.5,,0.09
,,1112,107968,,10,9945,95.59,,,-95.5,,0.09
-1.6971558406949043,0.11544537590816617,1116,108736,0.0001,10,10106,95.63,0.7145917443558574,3392,-95.54,-11.138614535331726,0.09
,,1120,108960,,10,10112,95.63,,,-95.54,,0.09
,,1124,109408,,10,10122,95.63,,,-95.54,,0.09
,,1128,110016,,10,10135,95.63,,,-95.54,,0.09
,,1132,110208,,10,10140,96.13,,,-96.05,,0.08
-1.7295387629419565,0.12283859844319522,1136,110624,0.0001,10,10294,96.57,0.7100333049893379,3456,-96.5,-10.942545235157013,0.07
,,1140,110816,,10,10299,95.99,,,-95.91,,0.08
,,1144,110944,,10,10302,95.99,,,-95.91,,0.08
,,1148,111840,,10,10321,95.99,,,-95.91,,0.08
,,1152,112064,,10,10327,95.55,,,-95.46,,0.09
,,1156,112480,,10,10337,95.55,,,-95.46,,0.09
-1.7621106896549463,0.1219287954736501,1160,113056,0.0001,10,10493,95.79,0.7055029589682817,3520,-95.71,-10.745552837848663,0.08
,,1164,113376,,10,10501,96.05,,,-95.98,,0.07
,,1168,113824,,10,10511,96.05,,,-95.98,,0.07
,,1172,114016,,10,10516,96.8,,,-96.74,,0.06
,,1176,114144,,10,10520,97.28,,,-97.23,,0.05
-1.793913522735238,0.11959306336939335,1180,114816,0.0001,10,10678,96.66,0.7010019943118095,3584,-96.59,-10.54914416372776,0.07
,,1184,115232,,10,10688,96.66,,,-96.59,,0.07
,,1188,115360,,10,10691,96.66,,,-96.59,,0.07
,,1192,116256,,10,10710,96.66,,,-96.59,,0.07
,,1196,116576,,10,10718,97.82,,,-97.77,,0.05
-1.8265868965536356,0.12664561613928527,1200,117024,0.0001,10,10872,97.82,0.6965297097340226,3648,-97.77,-10.356992319226265,0.05
,,1204,117184,,10,10877,97.39,,,-97.33,,0.06
,,1208,117344,,10,10881,97.39,,,-97.33,,0.06
,,1212,117984,,10,10894,97.39,,,-97.33,,0.06
,,1216,118336,,10,10903,97.39,,,-97.33,,0.06
,,1220,118560,,10,10909,97.93,,,-97.88,,0.05
-1.8581601865589619,0.10809629125287756,1224,119456,0.0001,10,11072,97.93,0.6920865746214986,3712,-97.88,-10.167070925235748,0.05
,,1228,119776,,10,11079,97.93,,,-97.88,,0.05
,,1232,120128,,10,11088,97.7,,,-97.64,,0.06
,,1236,120352,,10,11094,97.7,,,-97.64,,0.06
,,1240,120544,,10,11099,98.28,,,-98.23,,0.05
,,1244,120704,,10,11103,97.64,,,-97.58,,0.06
-1.8906236980110407,0.11131641815882176,1248,121408,0.0001,10,11262,97.03,0.6876725936308503,3776,-96.96,-9.969783052802086,0.07
,,1252,121664,,10,11269,97.47,,,-97.41,,0.06
,,1256,122208,,10,11280,96.97,,,-96.9,,0.07
,,1260,122816,,10,11294,96.62,,,-96.54,,0.08
-1.9231235701590776,0.10762761125806719,1264,123072,0.0001,10,11444,96.62,0.6832867581397295,3840,-96.54,-9.778780043125153,0.08
,,1268,123488,,10,11453,96.62,,,-96.54,,0.08
,,1272,123712,,10,11459,96.62,,,-96.54,,0.08
,,1276,123808,,10,11462,96.27,,,-96.19,,0.08
,,1280,124384,,10,11474,95.81,,,-95.73,,0.08
,,1284,124736,,10,11483,95.81,,,-95.73,,0.08
,,1288,124928,,10,11488,95.81,,,-95.73,,0.08
