time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
1052,,,-96.38,103040,28,,,,96.44,0.06,3596,
1056,,,-96.45,103392,28,,,,96.51,0.06,3604,
1060,,,-96.06,103648,28,,,,96.13,0.07,3610,
1064,,,-96.06,104160,28,,,,96.13,0.07,3621,
1068,,,-96.06,104320,28,,,,96.13,0.07,3625,
1072,0.7237989334389567,-1.6325394343584776,-94.75,105056,28,0.0001,3264,-11.404032230377197,94.84,0.09,3669,0.14923068578355014
1076,,,-94.75,105312,28,,,,94.84,0.09,3675,
1080,,,-95.38,105728,28,,,,95.46,0.08,3684,
1084,,,-94.96,106048,28,,,,95.05,0.09,3691,
1088,,,-94.96,106464,28,,,,95.05,0.09,3700,
1092,0.7191811753436923,-1.6648581586778164,-95.11,106688,28,0.0001,3328,-11.209428012371063,95.2,0.09,3734,0.15546873107086867
1096,,,-96.42,107104,28,,,,96.49,0.07,3743,
1100,,,-96.15,107456,28,,,,96.23,0.08,3751,
1104,,,-96.56,108000,28,,,,96.63,0.07,3762,
1108,,,-96.56,108512,28,,,,96.63,0.07,3773,
1112,0.7145929150283337,-1.6972415652126074,-96.56,108928,28,0.0001,3392,-11.032650902867317,96.63,0.07,3811,0.14895314414752647
1116,,,-96.06,109024,28,,,,96.14,0.08,3814,
1120,,,-96.06,109344,28,,,,96.14,0.08,3821,
1124,,,-96.06,109792,28,,,,96.14,0.08,3830,
1128,,,-96.86,110144,28,,,,96.93,0.07,3838,
1132,0.7100343303754926,-1.7296371385455132,-96.86,110656,28,0.0001,3456,-10.843385845422745,96.93,0.07,3878,0.14923003711737692
1136,,,-96.86,111200,28,,,,96.93,0.07,3890,
1140,,,-96.89,111712,28,,,,96.96,0.07,3901,
1144,,,-96.89,112128,28,,,,96.96,0.07,3910,
1148,,,-96.89,112224,28,,,,96.96,0.07,3912,
1152,,,-96.89,112544,28,,,,96.96,0.07,3919,
1156,0.7055037850514054,-1.762240381911397,-96.89,112992,28,0.0001,3520,-10.661542430520058,96.96,0.07,3958,0.12690071237739176
1160,,,-97.28,113344,28,,,,97.34,0.06,3965,
1164,,,-97.28,113856,28,,,,97.34,0.06,3976,
1168,,,-97.28,114400,28,,,,97.34,0.06,3988,
1172,0.7010025512427092,-1.794077219441533,-98.24,114880,28,0.0001,3584,-10.472957506775856,98.29,0.05,4027,0.12869676703121513
1176,,,-98.24,115264,28,,,,98.29,0.05,4035,
1180,,,-98.24,115424,28,,,,98.29,0.05,4039,
1184,,,-98.66,115744,28,,,,98.7,0.04,4046,
1188,,,-98.03,116128,28,,,,98.08,0.05,4054,
1192,,,-98.03,116448,28,,,,98.08,0.05,4061,
1196,0.6965300505980849,-1.8267261423170567,-97.53,116960,28,0.0001,3648,-10.297820210456848,97.59,0.06,4101,0.1232049017562531
1200,,,-97.8,117248,28,,,,97.85,0.05,4107,
1204,,,-97.34,117888,28,,,,97.4,0.06,4121,
1208,,,-97.32,118368,28,,,,97.38,0.06,4131,
1212,,,-97.32,118592,28,,,,97.38,0.06,4136,
1216,,,-97.67,118688,28,,,,97.72,0.05,4138,
1220,0.692086698487401,-1.8583089299499989,-97.67,119040,28,0.0001,3712,-10.115261629223824,97.72,0.05,4175,0.12404885469004512
1224,,,-97.58,119616,28,,,,97.63,0.05,4187,
1228,,,-96.86,119904,28,,,,96.92,0.06,4194,
1232,,,-96.86,120320,28,,,,96.92,0.06,4203,
1236,,,-96.42,120800,28,,,,96.49,0.07,4213,
1240,0.6876725554466248,-1.8907576370984316,-96.42,121216,28,0.0001,3776,-9.903431341052055,96.49,0.07,4251,0.13028338854201138
1244,,,-96.42,121728,28,,,,96.49,0.07,4261,
1248,,,-96.42,121824,28,,,,96.49,0.07,4264,
1252,,,-95.98,122176,28,,,,96.06,0.08,4271,
1256,,,-95.98,122592,28,,,,96.06,0.08,4281,
1260,0.6832863902673125,-1.9232471771538258,-95.98,123040,28,0.0001,3840,-9.724954381585121,96.06,0.08,4319,0.11516381055116653
1264,,,-95.98,123520,28,,,,96.06,0.08,4329,
1268,,,-95.98,124000,28,,,,96.06,0.08,4339,
1272,,,-95.85,124384,28,,,,95.93,0.08,4348,
1276,,,-95.14,124768,28,,,,95.23,0.09,4356,
1280,0.6789276003837585,-1.9552661068737507,-95.14,125024,28,0.0001,3904,-9.547318041324615,95.23,0.09,4391,0.12256270262878388
1284,,,-95.14,125248,28,,,,95.23,0.09,4395,
1288,,,-95.77,125600,28,,,,95.85,0.08,4403,
1292,,,-95.2,126048,28,,,,95.29,0.09,4413,
1296,,,-94.94,126528,28,,,,95.03,0.09,4423,
1300,,,-94.94,126848,28,,,,95.03,0.09,4430,
1304,0.6745967650786042,-1.9879394713789225,-94.49,127264,28,0.0001,3968,-9.403945222496986,94.59,0.1,4469,0.11090343818068504
1308,,,-94.51,127616,28,,,,94.61,0.1,4476,
1312,,,-94.51,128064,28,,,,94.61,0.1,4486,
1316,,,-94.73,128224,28,,,,94.82,0.09,4490,
1320,,,-94.35,128288,28,,,,94.45,0.1,4491,
1324,,,-93.67,128832,28,,,,93.78,0.11,4503,
1328,0.670293752104044,-2.0201116129755974,-94.39,129504,28,0.0001,4032,-9.253180146217346,94.49,0.1,4546,0.10907636897172779
1332,,,-94.39,129920,28,,,,94.49,0.1,4554,
1336,,,-94.83,130432,28,,,,94.92,0.09,4565,
1340,,,-94.83,130784,28,,,,94.92,0.09,4573,
1344,,,-94.35,130944,28,,,,94.45,0.1,4577,
1348,0.6660174718126655,-2.0529708936810493,-93.78,131360,28,0.0001,4096,-9.08717629313469,93.89,0.11,4615,0.11639837559778243
1352,,,-94.22,131424,28,,,,94.32,0.1,4617,
1356,,,-94.22,131776,28,,,,94.32,0.1,4625,
1360,,,-94.22,132544,28,,,,94.32,0.1,4640,
1364,,,-94.22,133120,28,,,,94.32,0.1,4652,
1368,0.661767989397049,-2.0850025564432144,-93.13,133472,28,0.0001,4160,-8.90587717294693,93.25,0.12,4689,0.10984430462121964
1372,,,-93.61,133824,28,,,,93.72,0.11,4697,
1376,,,-94.32,134112,28,,,,94.42,0.1,4703,
