time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_len_mean,train/ent_coef
1296,-96.06,5482,126496,,23,,,,0.09,,96.15,
1300,-96.58,5488,126784,,23,,,,0.08,,96.66,
1304,-96.68,5491,126912,,23,,,,0.07,,96.75,
1308,-96.68,5548,127552,-1.9885702151805162,22,0.0001,0.11539432627614588,3968,0.07,-9.296468898653984,96.75,0.674507012590766
1312,-96.68,5553,127872,,23,,,,0.07,,96.75,
1316,-97.2,5556,128000,,23,,,,0.06,,97.26,
1320,-97.2,5562,128320,,23,,,,0.06,,97.26,
1324,-98.07,5628,129472,-2.0206926465034485,23,0.0001,0.10770595481153578,4032,0.04,-9.12699493765831,98.11,0.6702044392004609
1328,-98.07,5633,129696,,23,,,,0.04,,98.11,
1332,-98.07,5639,129984,,23,,,,0.04,,98.11,
1336,-98.55,5641,130112,,23,,,,0.03,,98.58,
1340,-98.55,5651,130752,,23,,,,0.03,,98.58,
1344,-98.55,5657,131072,,23,,,,0.03,,98.58,
1348,-98.55,5705,131200,-2.0532614551484585,22,0.0001,0.10643467574846,4096,0.03,-8.953052446246147,98.58,0.6659290511161089
1352,-98.55,5711,131520,,23,,,,0.03,,98.58,
1356,-98.55,5728,132672,,23,,,,0.03,,98.58,
1360,-98.46,5730,132768,,23,,,,0.03,,98.49,
1364,-99.02,5782,133152,-2.0855395942926407,23,0.0001,0.10689575737342238,4160,0.02,-8.797361388802528,99.04,0.6616805912926793
1368,-99.04,5785,133248,,23,,,,0.02,,99.06,
1372,-99.04,5789,133536,,23,,,,0.02,,99.06,
1376,-99.04,5801,134240,,23,,,,0.02,,99.06,
1380,-99.04,5804,134368,,23,,,,0.02,,99.06,
1384,-99.04,5808,134592,,23,,,,0.02,,99.06,
1388,-98.96,5872,135872,-2.1177082993090153,23,0.0001,0.11089151178020984,4224,0.02,-8.62370678782463,98.98,0.6574592273682356
1392,-98.43,5875,135968,,23,,,,0.03,,98.46,
1396,-98.39,5879,136224,,23,,,,0.03,,98.42,
1400,-97.7,5882,136384,,23,,,,0.05,,97.75,
1404,-97.7,5883,136448,,23,,,,0.05,,97.75,
1408,-97.7,5890,136864,,23,,,,0.05,,97.75,
1412,-97.7,5948,137536,-2.150430541485548,23,0.0001,0.1135013127932325,4288,0.05,-8.466493144631386,97.75,0.6532651353627443
1416,-97.7,5954,137792,,23,,,,0.05,,97.75,
1420,-97.7,5974,139072,,23,,,,0.05,,97.75,
1424,-97.7,5976,139168,,23,,,,0.05,,97.75,
1428,-97.7,6026,139424,-2.1826935335993767,23,0.0001,0.10801033722236753,4352,0.05,-8.303229674696922,97.75,0.6490970486775041
1432,-97.7,6030,139584,,23,,,,0.05,,97.75,
1436,-97.7,6031,139648,,23,,,,0.05,,97.75,
1440,-97.7,6041,140064,,23,,,,0.05,,97.75,
1444,-97.7,6053,140736,,23,,,,0.05,,97.75,
1448,-97.11,6057,140960,,23,,,,0.06,,97.17,
1452,-97.11,6127,142176,-2.2150820530951023,23,0.0001,0.09932838822714984,4416,0.06,-8.151403270661831,97.17,0.6449558883905411
1456,-97.11,6131,142336,,23,,,,0.06,,97.17,
1460,-97.73,6139,142624,,23,,,,0.05,,97.78,
1464,-97.73,6141,142720,,23,,,,0.05,,97.78,
