train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
,96.76,-96.7,,0.06,,,876,,13861,86016,,6
-13.193047523498535,96.76,-96.7,-1.341155493631959,0.06,0.0001,0.7667816001921892,880,0.14919996593380347,14170,86080,2688,6
,97.25,-97.2,,0.05,,,884,,14178,86400,,6
,97.79,-97.75,,0.04,,,888,,14191,87136,,6
,97.14,-97.08,,0.06,,,892,,14202,87776,,6
,97.14,-97.08,,0.06,,,896,,14205,87936,,6
-12.998571276664734,97.14,-97.08,-1.3731293883174658,0.06,0.0001,0.7618908388540149,900,0.1334904251853004,14522,88416,2752,6
,97.14,-97.08,,0.06,,,904,,14527,88672,,6
,97.14,-97.08,,0.06,,,908,,14532,88928,,6
,97.14,-97.08,,0.06,,,912,,14538,89280,,6
,97.14,-97.08,,0.06,,,916,,14543,89600,,6
-12.798749759793282,97.14,-97.08,-1.4052892066538334,0.06,0.0001,0.7570313289761543,920,0.14160891791107133,14864,90336,2816,6
,96.0,-95.92,,0.08,,,924,,14871,90752,,6
,96.06,-95.98,,0.08,,,928,,14877,91104,,6
,96.06,-95.98,,0.08,,,932,,14884,91456,,6
,96.06,-95.98,,0.08,,,936,,14889,91712,,6
,96.06,-95.98,,0.08,,,940,,14895,92032,,6
-12.60340864956379,95.54,-95.45,-1.4381218571215868,0.09,0.0001,0.7522027418017387,944,0.13262097834376618,15209,92416,2880,6
,95.57,-95.48,,0.09,,,948,,15215,92736,,6
,95.57,-95.48,,0.09,,,952,,15222,93056,,6
,95.57,-95.48,,0.09,,,956,,15232,93696,,6
-12.408545091748238,94.94,-94.83,-1.4702517800033092,0.11,0.0001,0.7474043853580952,960,0.12459288549143821,15550,94240,2944,6
,95.52,-95.42,,0.1,,,964,,15554,94336,,6
,96.07,-95.98,,0.09,,,968,,15562,94816,,6
,96.07,-95.98,,0.09,,,972,,15568,95136,,6
,96.59,-96.51,,0.08,,,976,,15571,95328,,6
,96.05,-95.96,,0.09,,,980,,15580,95872,,6
,96.05,-95.96,,0.09,,,984,,15584,96064,,6
-12.210550352931023,96.05,-95.96,-1.5025392286479473,0.09,0.0001,0.7426365343853831,988,0.15049598534824327,15905,96832,3008,6
,96.14,-96.06,,0.08,,,992,,15912,97184,,6
,96.14,-96.06,,0.08,,,996,,15917,97504,,6
,96.14,-96.06,,0.08,,,1000,,15926,97952,,6
,96.14,-96.06,,0.08,,,1004,,15932,98272,,6
-12.01039931178093,96.14,-96.06,-1.5351062584668398,0.08,0.0001,0.7378990799188614,1008,0.14086582144955173,16245,98528,3072,6
,95.53,-95.44,,0.09,,,1012,,16253,98976,,6
,94.92,-94.82,,0.1,,,1016,,16259,99200,,6
