time/episodes,rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/success_rate,train/n_updates
1176,95.05,0.7010108083486557,0.12952637684065849,114880,4377,-10.531871110200882,-1.7940555941313505,-94.93,26,0.0001,0.12,3584
1180,95.05,,,115136,4383,,,-94.93,26,,0.12,
1184,95.42,,,115360,4388,,,-95.31,26,,0.11,
1188,95.83,,,115584,4393,,,-95.73,26,,0.1,
1192,95.84,,,116192,4406,,,-95.74,26,,0.1,
1196,94.79,,,116608,4415,,,-94.67,26,,0.12,
1200,94.49,0.6965382117778063,0.1427740597864613,117248,4464,-10.331095546483994,-1.826699536293745,-94.37,26,0.0001,0.12,3648
1204,94.43,,,117632,4472,,,-94.31,26,,0.12,
1208,94.43,,,117824,4477,,,-94.31,26,,0.12,
1212,94.4,,,118272,4486,,,-94.28,26,,0.12,
1216,94.4,,,118464,4491,,,-94.28,26,,0.12,
1220,94.85,,,118784,4498,,,-94.74,26,,0.11,
1224,94.85,0.6920947600156069,0.12726476817624643,119392,4546,-10.130636006593704,-1.8583009485155344,-94.74,26,0.0001,0.11,3712
1228,94.85,,,119680,4552,,,-94.74,26,,0.11,
1232,94.85,,,120384,4567,,,-94.74,26,,0.11,
1236,95.12,,,120768,4575,,,-95.02,26,,0.1,
1240,95.12,0.6876805191859603,0.12043319584336132,120992,4616,-9.962480068206787,-1.8907577972859144,-95.02,26,0.0001,0.1,3776
1244,95.12,,,121472,4626,,,-95.02,26,,0.1,
1248,95.63,,,121664,4630,,,-95.55,26,,0.08,
1252,95.17,,,121952,4637,,,-95.08,26,,0.09,
1256,95.17,,,122432,4647,,,-95.08,26,,0.09,
1260,95.17,,,122720,4653,,,-95.08,26,,0.09,
1264,94.68,0.6832942394539714,0.1184927806025371,123328,4701,-9.764316767454147,-1.923247730359435,-94.58,26,0.0001,0.1,3840
1268,96.44,,,123936,4714,,,-96.37,26,,0.07,
1272,96.78,,,124160,4719,,,-96.72,26,,0.06,
1276,96.78,,,124544,4727,,,-96.72,26,,0.06,
1280,96.78,,,124864,4735,,,-96.72,26,,0.06,
1284,96.78,0.6789353648200631,0.12134391360450536,125152,4777,-9.58183878660202,-1.9552543740719557,-96.72,26,0.0001,0.06,3904
1288,96.78,,,125632,4787,,,-96.72,26,,0.06,
1292,96.78,,,125920,4793,,,-96.72,26,,0.06,
1296,97.48,,,126464,4804,,,-97.43,26,,0.05,
1300,98.04,0.6746044931933284,0.12731378804892302,127104,4853,-9.401420772075653,-1.9878936689347029,-98.0,26,0.0001,0.04,3968
1304,98.1,,,127264,4857,,,-98.06,26,,0.04,
1308,98.1,,,127744,4868,,,-98.06,26,,0.04,
1312,98.13,,,128064,4875,,,-98.09,26,,0.04,
1316,98.13,,,128352,4881,,,-98.09,26,,0.04,
1320,98.0,,,128736,4890,,,-97.96,26,,0.04,
1324,98.57,0.6703014438971877,0.13495817250804976,129120,4933,-9.207558661699295,-2.0201004818081856,-98.54,26,0.0001,0.03,4032
1328,98.57,,,129664,4945,,,-98.54,26,,0.03,
1332,98.57,,,130304,4958,,,-98.54,26,,0.03,
1336,98.57,,,130464,4962,,,-98.54,26,,0.03,
1340,98.23,,,130848,4970,,,-98.19,26,,0.04,
1344,97.64,0.6660251002758741,0.11383747518993914,131136,5012,-9.02372533082962,-2.052957959473133,-97.59,26,0.0001,0.05,4096
1348,97.0,,,131456,5019,,,-96.94,26,,0.06,
1352,97.46,,,131584,5023,,,-97.41,26,,0.05,
1356,97.46,,,132192,5035,,,-97.41,26,,0.05,
1360,97.46,,,132608,5044,,,-97.41,26,,0.05,
1364,97.95,0.6617755284532905,0.10455706145148724,133248,5093,-8.82516273856163,-2.0850214324891567,-97.91,26,0.0001,0.04,4160
1368,97.35,,,133632,5101,,,-97.3,26,,0.05,
1372,97.35,,,133824,5105,,,-97.3,26,,0.05,
1376,97.35,,,134208,5113,,,-97.3,26,,0.05,
1380,97.35,,,134560,5121,,,-97.3,26,,0.05,
1384,97.35,,,134752,5126,,,-97.3,26,,0.05,
1388,97.35,0.6575535293668509,0.10975360043812543,135392,5175,-8.650336146354675,-2.117362655699253,-97.3,26,0.0001,0.05,4224
1392,97.35,,,135808,5183,,,-97.3,26,,0.05,
1396,97.25,,,136416,5195,,,-97.2,26,,0.05,
1400,97.25,,,136768,5203,,,-97.2,26,,0.05,
1404,97.25,,,136992,5209,,,-97.2,26,,0.05,
1408,97.25,0.6533587882295251,0.10112761182244867,137344,5260,-8.476250350475311,-2.1495518311858177,-97.2,26,0.0001,0.05,4288
1412,97.25,,,137664,5268,,,-97.2,26,,0.05,
1416,97.25,,,137952,5275,,,-97.2,26,,0.05,
1420,96.85,,,138240,5281,,,-96.79,26,,0.06,
1424,96.85,,,138880,5295,,,-96.79,26,,0.06,
1428,96.47,0.6491907490417361,0.09674081328557804,139328,5348,-8.309385672211647,-2.181856296956539,-96.4,26,0.0001,0.07,4352
1432,96.47,,,139712,5357,,,-96.4,26,,0.07,
1436,96.47,,,140160,5367,,,-96.4,26,,0.07,
1440,96.81,,,140544,5376,,,-96.75,26,,0.06,
1444,96.76,,,140864,5384,,,-96.7,26,,0.06,
1448,97.4,,,141120,5389,,,-97.35,26,,0.05,
1452,97.4,0.6450497061014175,0.09716580458916724,141408,5440,-8.146678507328033,-2.2139136977493763,-97.35,25,0.0001,0.05,4416
1456,97.4,,,141920,5452,,,-97.35,26,,0.05,
1460,97.4,,,142528,5465,,,-97.35,26,,0.05,
